epoch,train_emd,val_emd,diag_bce,leak_loss,ortho_loss,recon_loss,consistency_loss,total_loss,lr,grad_norm,epoch_seconds,it_per_sec,samples_per_sec
12,0.079053595662117,0.0755535438656807,0.013188407756388187,0.6487289071083069,0.012684419751167297,0.00195463583804667,0.08648194372653961,0.2513479223707691,0.001,0.02710641548037529,1.7457396984100342,0.5770185121609118,960.1585950918724
13,0.07866499572992325,0.07554090023040771,0.013112787157297134,0.6326171159744263,0.011320305988192558,0.001877125003375113,0.08163321018218994,0.24630233884090555,0.001,0.027039654552936554,1.682236671447754,0.577057109442767,960.2229488151863
14,0.07822952419519424,0.07552745938301086,0.013039191253483295,0.6147757768630981,0.010421008802950382,0.001800629310309887,0.07807683199644089,0.2409533154219389,0.001,0.02787109650671482,1.682006597518921,0.5772690980862433,960.5757319992053
15,0.07831215858459473,0.07551214098930359,0.01296543050557375,0.5958139896392822,0.00944859441369772,0.0017269535455852747,0.07364373654127121,0.2357475844444707,0.001,0.028292518109083176,1.7780182361602783,0.5755337242434393,957.6880470546969
16,0.07766063511371613,0.07549704611301422,0.012877091765403748,0.5773165225982666,0.008687116205692291,0.0016566328704357147,0.0699620470404625,0.23002034537494181,0.001,0.02894924208521843,1.7006337642669678,0.5756104730731879,957.8157779011493
17,0.07738764584064484,0.07548106461763382,0.012812028639018536,0.5593876242637634,0.008121408522129059,0.0015896918484941125,0.06687813252210617,0.22489347519585864,0.001,0.029712418094277382,1.7583470344543457,0.5743206485285363,955.6695052685333
18,0.07713136076927185,0.07546277344226837,0.012735155411064625,0.5407710075378418,0.007306740619242191,0.0015255643520504236,0.06350993365049362,0.21955833651591092,0.001,0.029416708275675774,1.6666440963745117,0.5750568544616423,956.8945329384528
19,0.07673890888690948,0.07544243335723877,0.012674430385231972,0.5226758718490601,0.006785695441067219,0.001464243046939373,0.06084314361214638,0.2143171850591898,0.001,0.02982531674206257,1.6349728107452393,0.5759261901234307,958.3411388102529
20,0.07621951401233673,0.07541832327842712,0.012624586001038551,0.5044699907302856,0.006352914497256279,0.0014059599488973618,0.05923251807689667,0.20903615094721317,0.001,0.029239216819405556,1.5852699279785156,0.5777534605065154,961.3817185545615
21,0.07615162432193756,0.07539087533950806,0.012590034864842892,0.48810794949531555,0.005917607340961695,0.0013509000418707728,0.05675191804766655,0.20458065423881636,0.001,0.029716722667217255,1.6093027591705322,0.5790023123705434,963.4598034510108
22,0.07577801495790482,0.0753583014011383,0.01252828910946846,0.47088998556137085,0.005656342953443527,0.0012992584379389882,0.05471421778202057,0.19966749326558783,0.001,0.02878224477171898,1.6880676746368408,0.5790037272090907,963.4621597573089
23,0.07537738978862762,0.0753227099776268,0.012488894164562225,0.4529619514942169,0.005298000760376453,0.0012510063825175166,0.05249259993433952,0.1945220383699052,0.001,0.02864479087293148,1.6661925315856934,0.579244693414385,963.8631409041237
24,0.07523645460605621,0.0752868726849556,0.012446665205061436,0.43692150712013245,0.004973279312252998,0.001205901731736958,0.05030611902475357,0.1901153613929637,0.001,0.028417328372597694,1.6630232334136963,0.5795638376235515,964.3941869384342
25,0.07485868781805038,0.0752522423863411,0.012409315444529057,0.41996222734451294,0.004722180310636759,0.0011637717252597213,0.048041798174381256,0.1852420196752064,0.001,0.027679545804858208,1.6602087020874023,0.5799144750917216,964.9776545317978
26,0.07485590875148773,0.07522304356098175,0.012367418967187405,0.4039538502693176,0.004330437630414963,0.001124503556638956,0.04616634547710419,0.18100649998523294,0.001,0.027882901951670647,1.7105920314788818,0.579594596682469,964.4453832502121
27,0.07425260543823242,0.07519591599702835,0.012340324930846691,0.388803631067276,0.004157417453825474,0.0010878725443035364,0.04478578269481659,0.17645662047434602,0.001,0.02670820616185665,1.6162910461425781,0.5805533551319749,966.0407482729498
