color_index,layout_index,prompt,style_sinkhorn,style_cos,sinkhorn_sinkhorn,sinkhorn_cos,style_f1,style_iou,style_ssim,sinkhorn_f1,sinkhorn_iou,sinkhorn_ssim,attempts,style_time,sinkhorn_time
1002,400,"a car, advertisement style, professional photography",0.019763672724366188,0.26633399724960327,0.021225009113550186,0.21064940094947815,0.19663094185561605,0.10903533112730024,,0.2736501999120308,0.158513761467887,,1,4.325388193130493,4.182655572891235
1002,507,"a car, advertisement style, professional photography",0.013551387935876846,0.25659069418907166,0.03911428526043892,0.25730445981025696,0.2050558767454344,0.11424081369841958,,0.25690579120167717,0.14738491488805883,,2,4.127692222595215,8.652779817581177
1003,30,"a car, advertisement style, professional photography",0.13332879543304443,0.26888757944107056,0.13135480880737305,0.2757808566093445,0.29528129711470985,0.1732140892976489,,0.1981612336180469,0.10997722864130789,,10,4.125569581985474,42.12960696220398
1003,71,"a car, advertisement style, professional photography",0.14151936769485474,0.3058428168296814,0.11643647402524948,0.29217588901519775,0.26242203064613445,0.15102748522989787,,0.23596489117532132,0.13376428303202437,,10,4.1348631381988525,43.13508415222168
1003,400,"a car, advertisement style, professional photography",0.12374009191989899,0.2053142488002777,0.12179818749427795,0.20432183146476746,0.19906172588218388,0.11053223160580669,,0.2942882205710753,0.1725310364067483,,10,4.158053159713745,41.79351878166199
1003,507,"a car, advertisement style, professional photography",0.11855917423963547,0.31514447927474976,0.12213761359453201,0.30171820521354675,0.2600757618327906,0.14947533728317358,,0.282675277261407,0.1646021127964335,,10,4.427376985549927,42.691723585128784
1004,30,"a car, advertisement style, professional photography",0.13351768255233765,0.2966967821121216,0.07520101964473724,0.2546074390411377,0.17316131732420115,0.09478741570432023,,0.17019401138362547,0.09301205302931372,,10,4.358464241027832,43.22769331932068
1004,71,"a car, advertisement style, professional photography",0.12139002233743668,0.3024909198284149,0.1248176246881485,0.30776917934417725,0.20638542965163503,0.11506676713648517,,0.24695395775294718,0.1408713474879107,,10,4.367891788482666,43.25127840042114
1004,400,"a car, advertisement style, professional photography",0.11665187031030655,0.22085843980312347,0.08687421679496765,0.22720566391944885,0.2166230834507575,0.12146791963706868,,0.2755995169264584,0.1598233821529211,,10,4.188782215118408,42.21678447723389
1004,507,"a car, advertisement style, professional photography",0.0611213743686676,0.3078598976135254,0.10977065563201904,0.284999281167984,0.2640805730634319,0.15212720676165806,,0.2452350569311149,0.1397537934299806,,10,4.375974178314209,42.44121313095093
1005,30,"a car, advertisement style, professional photography",0.09714033454656601,0.2774072289466858,0.06592674553394318,0.24546721577644348,0.21820060341217207,0.12246081362689025,,0.2519117797409898,0.14410701773794904,,10,4.203602075576782,42.24094080924988
1005,71,"a car, advertisement style, professional photography",0.09160113334655762,0.26383495330810547,0.06379756331443787,0.3021015524864197,0.16248407600702178,0.08842594197372423,,0.21021253874696355,0.11745111845312087,,10,4.187368154525757,42.970470905303955
1005,400,"a car, advertisement style, professional photography",0.07725896686315536,0.22980237007141113,0.054249390959739685,0.22879356145858765,0.21414373839116507,0.11991096010778336,,0.29327332816169743,0.17183379944066776,,10,4.071083307266235,42.32637119293213
1005,507,"a car, advertisement style, professional photography",0.07782930880784988,0.2562834918498993,0.05013785511255264,0.2641972005367279,0.19142747984971067,0.10584451447321284,,0.29579572382838204,0.17356823266219046,,10,4.16053318977356,42.26438546180725
1006,30,"a car, advertisement style, professional photography",0.039096467196941376,0.23732522130012512,0.02357732318341732,0.2527793347835541,0.2714825549014513,0.15706092880858818,,0.2480729379040242,0.1416000378483215,,1,4.325641870498657,4.151052713394165
1006,71,"a car, advertisement style, professional photography",0.024342352524399757,0.3116950988769531,0.027960803359746933,0.2534244954586029,0.22016391562884138,0.12369898441935123,,0.2556247207283002,0.1465422746206106,,1,4.134721279144287,4.224255800247192
